일자,기관,개인,외국인,기타,전체
"2022/07/08","1562280","189202","4866484","0","6617966"
"2022/07/07","1248678","264438","5128021","0","6641137"
"2022/07/06","2330470","282583","6558387","0","9171440"
"2022/07/05","1066003","247738","5541978","432","6856151"
"2022/07/04","2117203","243745","6196109","0","8557057"
"2022/07/01","2309644","327677","6661527","27","9298875"
"2022/06/30","3092629","291475","5275850","0","8659954"
"2022/06/29","2506120","258595","5120394","0","7885109"
"2022/06/28","1673700","147398","4386009","0","6207107"
"2022/06/27","1425209","169282","4771061","0","6365552"
"2022/06/24","1032509","229616","6908095","0","8170220"
"2022/06/23","2578755","380288","11086748","0","14045791"
"2022/06/22","2099246","264055","9280423","0","11643724"
"2022/06/21","1575773","259091","6032244","0","7867108"
"2022/06/20","2339650","243098","8793054","0","11375802"
"2022/06/17","2877442","260072","9775945","0","12913459"
"2022/06/16","1919058","185973","5793801","0","7898832"
"2022/06/15","2239540","212601","8553686","3000","11008827"
"2022/06/14","2288505","477501","10026469","0","12792475"
"2022/06/13","3365027","111651","8843741","0","12320419"
"2022/06/10","3617183","161330","7366788","0","11145301"
"2022/06/09","3637080","201094","11748892","0","15587066"
"2022/06/08","1499339","178844","6705317","0","8383500"
"2022/06/07","1577427","256500","5524670","0","7358597"
"2022/06/03","1276973","102403","5895048","0","7274424"
"2022/06/02","1346907","409278","9272285","0","11028470"
"2022/05/31","1785899","292691","9174136","0","11252726"
"2022/05/30","1221866","212159","6270816","0","7704841"
"2022/05/27","1175825","195432","5610456","0","6981713"
"2022/05/26","1647533","174816","6843140","0","8665489"
"2022/05/25","1616366","151740","8863772","0","10631878"
"2022/05/24","1521109","177397","8614610","0","10313116"
"2022/05/23","1323914","218287","6791117","0","8333318"
"2022/05/20","1538009","101700","7849532","0","9489241"
"2022/05/19","3618166","483795","10143610","0","14245571"
"2022/05/18","2015396","133700","9369248","0","11518344"
"2022/05/17","2419452","355120","10754675","0","13529247"
"2022/05/16","2010935","628519","9142920","0","11782374"
"2022/05/13","2209070","396380","12540101","0","15145551"
"2022/05/12","5528833","789554","11790781","0","18109168"
"2022/05/11","3716137","295669","8634927","0","12646733"
"2022/05/10","2792528","267532","11197707","0","14257767"
"2022/05/09","2770968","121781","9177679","0","12070428"
"2022/05/06","4142421","801910","9595595","0","14539926"
"2022/05/04","1570424","854954","6997562","0","9422940"
"2022/05/03","1603763","127523","5672603","0","7403889"
"2022/05/02","2081957","194991","5368645","0","7645593"
"2022/04/29","1983780","155520","7473877","0","9613177"
"2022/04/28","2727925","277250","10958955","0","13964130"
"2022/04/27","2381761","192294","9022537","0","11596592"
"2022/04/26","2008277","106047","5758058","0","7872382"
"2022/04/25","3381521","150918","7585493","0","11117932"
"2022/04/22","3129540","725449","7807061","0","11662050"
"2022/04/21","1444609","159799","6156886","0","7761294"
"2022/04/20","2211082","101574","5906010","0","8218666"
"2022/04/19","1500299","142578","4867586","0","6510463"
"2022/04/18","2607910","108108","4869375","0","7585393"
"2022/04/15","3289502","138946","5144867","0","8573315"
"2022/04/14","2865368","265680","6909387","0","10040435"
"2022/04/13","1580054","308770","6432256","0","8321080"
"2022/04/12","2268247","95561","6260325","0","8624133"
"2022/04/11","1927745","130395","6052212","0","8110352"
"2022/04/08","1970158","115171","6548159","0","8633488"
"2022/04/07","3415624","153064","9804435","0","13373123"
"2022/04/06","2506136","145927","7242501","0","9894564"
"2022/04/05","1700767","414902","5551752","0","7667421"
"2022/04/04","1466915","87136","4200793","0","5754844"
"2022/04/01","2026043","304934","10611820","0","12942797"
"2022/03/31","3109233","597121","6548855","0","10255209"
"2022/03/30","2889642","119460","5246406","0","8255508"
"2022/03/29","2574655","188561","5632524","0","8395740"
"2022/03/28","2679588","147670","5432778","0","8260036"
"2022/03/25","2836655","173407","4652250","0","7662312"
"2022/03/24","2519891","245679","5515336","0","8280906"
"2022/03/23","2296973","176730","6238191","323","8712217"
"2022/03/22","2686862","149384","5849173","0","8685419"
"2022/03/21","2875661","120767","4284681","14","7281123"
"2022/03/18","1948807","181293","8063205","0","10193305"
"2022/03/17","4389206","165668","6211625","150000","10916499"
"2022/03/16","2644605","234339","6354982","0","9233926"
"2022/03/15","3419503","204577","7188787","0","10812867"
"2022/03/14","2716425","298568","7325447","0","10340440"
"2022/03/11","5016863","369206","7250441","0","12636510"
"2022/03/10","3670161","431590","12993005","0","17094756"
"2022/03/08","6599257","399974","8326733","0","15325964"
"2022/03/07","7472631","325031","10200865","0","17998527"
"2022/03/04","11360790","553168","7829420","0","19743378"
"2022/03/03","2007641","354261","5496337","0","7858239"
"2022/03/02","1805003","223038","7738724","0","9766765"
"2022/02/28","4082103","263043","8114214","260","12459620"
"2022/02/25","1876519","308221","6380421","110","8565271"
"2022/02/24","2405093","274085","6263071","0","8942249"
"2022/02/23","1893618","311444","6280567","243","8485872"
"2022/02/22","1781869","320170","6857464","0","8959503"
"2022/02/21","1379340","176333","3581873","1169","5138715"
"2022/02/18","2661756","368845","5954575","1","8985177"
"2022/02/17","2739719","370754","4588832","280","7699585"
"2022/02/16","2068278","206752","5449757","0","7724787"
"2022/02/15","2901214","369401","5728289","0","8998904"
"2022/02/14","4078062","313142","6319654","0","10710858"
"2022/02/11","3983059","203956","7981824","0","12168839"
"2022/02/10","5146025","603897","7677641","0","13427563"
"2022/02/09","2202544","136100","6544478","0","8883122"
"2022/02/08","3344242","175332","6233121","139","9752834"
"2022/02/07","2584610","143320","5855567","92","8583589"
"2022/02/04","1558053","174937","5088884","0","6821874"
"2022/02/03","1354580","140309","6450931","0","7945820"
"2022/01/28","1824855","212239","9054794","0","11091888"
"2022/01/27","1625659","173017","10252430","0","12051106"
"2022/01/26","1477422","157457","6388142","9","8023030"
"2022/01/25","1554220","137285","8130346","0","9821851"
"2022/01/24","1383708","119224","5825696","0","7328628"
"2022/01/21","2036705","250722","5990079","0","8277506"
"2022/01/20","1957174","157050","6349201","0","8463425"
"2022/01/19","3225050","156467","8349429","0","11730946"
"2022/01/18","2875092","148480","7707941","0","10731513"
"2022/01/17","3319658","204236","7542909","0","11066803"
"2022/01/14","3784918","327472","9095305","0","13207695"
"2022/01/13","4713544","196313","5906249","0","10816106"
"2022/01/12","2609043","389685","6160097","0","9158825"
"2022/01/11","2824426","202201","6445624","0","9472251"
"2022/01/10","2742255","171186","7519728","0","10433169"
"2022/01/07","2491581","79930","5164328","0","7735839"
"2022/01/06","3225090","159279","7237154","200","10621723"
"2022/01/05","5366761","141878","7097082","0","12605721"
"2022/01/04","2385815","99628","5015767","0","7501210"
"2022/01/03","2189904","71409","3415901","0","5677214"
"2021/12/30","1103917","43866","3491129","0","4638912"
"2021/12/29","2214611","182231","5749020","130","8145992"
"2021/12/28","1173349","204482","3991489","0","5369320"
"2021/12/27","1102340","61965","2266595","0","3430900"
"2021/12/24","580097","47120","2481353","0","3108570"
"2021/12/23","916989","70797","3847645","0","4835431"
"2021/12/22","931550","80148","3707980","0","4719678"
"2021/12/21","1752429","94977","4212071","0","6059477"
"2021/12/20","1566273","102326","4337766","0","6006365"
"2021/12/17","1278391","103826","5823054","0","7205271"
"2021/12/16","1603083","75198","3324750","0","5003031"
"2021/12/15","1867361","79335","3272077","0","5218773"
"2021/12/14","1389772","90623","4201825","50","5682270"
"2021/12/13","1150367","79664","3622136","0","4852167"
"2021/12/10","1799584","159513","3294300","7864","5261261"
"2021/12/09","3128542","139677","8766357","0","12034576"
"2021/12/08","1368518","108729","5025914","14718","6517879"
"2021/12/07","2380509","244897","5233229","5282","7863917"
"2021/12/06","1108150","94374","4245410","20000","5467934"
"2021/12/03","1112993","100699","5095529","0","6309221"
"2021/12/02","998337","135101","5818272","0","6951710"
"2021/12/01","1134595","183346","5846802","0","7164743"
"2021/11/30","2011257","224285","12801689","0","15037231"
"2021/11/29","1400129","145913","7444605","0","8990647"
"2021/11/26","1684177","71740","5225890","0","6981807"
"2021/11/25","705251","72379","5224367","0","6001997"
"2021/11/24","1197680","74933","5061458","0","6334071"
"2021/11/23","1311921","92349","5887785","0","7292055"
"2021/11/22","1928333","81657","6234464","0","8244454"
"2021/11/19","849843","79383","6357766","0","7286992"
"2021/11/18","1068399","217464","5233890","0","6519753"
"2021/11/17","2328340","143313","6761051","0","9232704"
"2021/11/16","1241217","122750","6675311","0","8039278"
"2021/11/15","1439158","146850","7363500","0","8949508"
"2021/11/12","1598376","179438","7293766","0","9071580"
"2021/11/11","1528076","125503","7044638","0","8698217"
"2021/11/10","707027","122866","6036860","0","6866753"
"2021/11/09","1620486","65339","5665902","0","7351727"
"2021/11/08","1530879","118940","5437821","0","7087640"
"2021/11/05","1531240","232804","6793965","0","8558009"
"2021/11/04","1426849","187236","6501807","0","8115892"
"2021/11/03","1081285","168916","9080481","0","10330682"
"2021/11/02","972510","89920","4229152","0","5291582"
"2021/11/01","986050","136518","5766990","1513","6891071"
"2021/10/29","1442081","136584","6466856","0","8045521"
"2021/10/28","1790990","166010","6815586","0","8772586"
"2021/10/27","3725380","241385","8198505","14000","12179270"
"2021/10/26","1566302","119770","6089992","0","7776064"
"2021/10/25","1931636","219513","4592896","0","6744045"
"2021/10/22","1022677","111715","4270295","0","5404687"
"2021/10/21","928883","163908","5661852","0","6754643"
"2021/10/20","1814048","117796","6708984","0","8640828"
"2021/10/19","1487949","119228","4553345","0","6160522"
"2021/10/18","2098091","123122","4512545","0","6733758"
"2021/10/15","2049391","167664","7075330","0","9292385"
"2021/10/14","2178073","265611","8464061","0","10907745"
"2021/10/13","1570192","174226","7137757","0","8882175"
"2021/10/12","1656827","186561","7861887","0","9705275"
"2021/10/08","1781283","186686","7296665","0","9264634"
"2021/10/07","1372574","225641","7020643","0","8618858"
"2021/10/06","1710676","178769","9140120","84","11029649"
"2021/10/05","2004365","227476","9962857","0","12194698"
"2021/10/01","2746835","187569","7581275","0","10515679"
"2021/09/30","2501271","236811","8223215","0","10961297"
"2021/09/29","2470191","148411","6020160","0","8638762"
"2021/09/28","2183914","151835","4514782","5000","6855531"
"2021/09/27","1291357","122875","4264718","0","5678950"
"2021/09/24","1201045","109561","6636611","0","7947217"
"2021/09/23","1148700","153014","6483443","2","7785159"
"2021/09/17","1517716","138770","9008626","2","10665114"
"2021/09/16","1222408","156827","8379715","5","9758955"
"2021/09/15","1754861","127153","6463164","5","8345183"
"2021/09/14","1281582","89602","5559164","10","6930358"
"2021/09/13","1362457","141824","5547252","0","7051533"
"2021/09/10","1988441","115615","6469142","31","8573229"
"2021/09/09","2401295","114108","7509391","0","10024794"
"2021/09/08","1584806","174874","6388447","8","8148135"
"2021/09/07","1711854","98339","4752310","0","6562503"
"2021/09/06","875168","86158","4957888","0","5919214"
"2021/09/03","1002302","76742","6503790","15","7582849"
"2021/09/02","1164583","180961","5483258","0","6828802"
"2021/09/01","1689400","125015","5486741","0","7301156"
"2021/08/31","1402137","116801","5965008","0","7483946"
"2021/08/30","1311474","133280","4264539","15","5709308"
"2021/08/27","866495","165483","4228042","0","5260020"
"2021/08/26","1411114","181157","6876317","0","8468588"
"2021/08/25","1177930","240605","6240879","0","7659414"
"2021/08/24","1077310","152409","7048264","30","8278013"
"2021/08/23","1322611","167225","7839711","0","9329547"
"2021/08/20","1732569","226940","8750735","45","10710289"
"2021/08/19","1373460","158339","6672437","0","8204236"
"2021/08/18","976414","275831","5090047","0","6342292"
"2021/08/17","1511571","146429","5380838","10","7038848"
"2021/08/13","1403580","86989","8168546","0","9659115"
"2021/08/12","1822004","211609","7737549","0","9771162"
"2021/08/11","1189596","101251","5373012","0","6663859"
"2021/08/10","2258413","237415","4899641","0","7395469"
"2021/08/09","2046064","123888","4511372","0","6681324"
"2021/08/06","855579","100600","6399350","0","7355529"
"2021/08/05","1006536","216389","3983512","0","5206437"
"2021/08/04","969064","159405","4571134","0","5699603"
